"Protein Group","Top","Accession","Significance","Coverage (%)","#Peptides","#Unique","PTM","NovWT_1 Area","NovWT_2 Area","NovWT_3 Area","NovDel_1 Area","NovDel_2 Area","NovDel_3 Area","NovComp_3 Area","NovComp_1 Area","NovComp_2 Area","Sample Profile (Ratio)","WT Area","Del Area","Comp Area","Group Profile (Ratio)","Avg. Mass","Description"
2602,true,"MMAR_2787|MMAR_2787|conserved",49.55,5.33,2,1,"",2983.6475,2782.681,2820.8223,294.1479,339.12332,492.6719,187.20053,288.40033,250.02565,1.00:0.93:0.95:0.10:0.11:0.17:0.06:0.10:0.08,2862.3835,375.31436,241.8755,1.00:0.13:0.08,40201,"hypothetical protein|376 AA"
553,true,"MMAR_0638|grpE|GrpE",1.63,92.17,23,14,"Acetylation (Protein N-term); Deamidation (NQ); Oxidation (M); Pyro-glu from Q",24290.309,22436.322,22788.33,17355.254,26016.969,24844.63,31676.873,26631.512,19802.705,1.00:0.92:0.94:0.71:1.07:1.02:1.30:1.10:0.82,23171.652,22738.951,26037.031,1.00:0.98:1.12,22734,"protein (Hsp-70 cofactor)|218 AA"
1156,true,"MMAR_3726|MMAR_3726|transcriptional",15.72,55.63,13,7,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",4200.037,2279.1304,5811.797,2780.465,1894.1362,3546.242,987.0816,1805.0477,807.0454,1.00:0.54:1.38:0.66:0.45:0.84:0.24:0.43:0.19,4096.9883,2740.281,1199.7249,1.00:0.67:0.29,15115,"regulator|143 AA"
2177,true,"MMAR_p22|MMAR_p22||282",11.47,14.23,3,3,"Deamidation (NQ); Oxidation (M)",1054.1782,2003.937,2108.0269,773.3688,692.69385,494.20782,752.74023,2232.834,2147.3286,1.00:1.90:2.00:0.73:0.66:0.47:0.71:2.12:2.04,1722.0474,653.42346,1710.9675,1.00:0.38:0.99,31443,"AA"
2628,true,"MMAR_4332|MMAR_4332|conserved",30.35,18.41,3,2,"",935.9341,977.7966,1540.062,1220.6577,938.48987,744.8127,358.1828,257.2593,233.36893,1.00:1.04:1.65:1.30:1.00:0.80:0.38:0.27:0.25,1151.2642,967.9867,335.84222,1.00:0.84:0.29,21992,"hypothetical protein|202 AA"
2807,true,"MMAR_2800|MMAR_2800|conserved",20.17,6.85,1,1,"",101.89347,77.50818,120.97208,154.60274,197.2529,191.49753,165.64651,257.71756,189.69171,1.00:0.76:1.19:1.52:1.94:1.88:1.63:2.53:1.86,100.12457,181.11772,204.35193,1.00:1.81:2.04,15347,"hypothetical protein|147 AA"
676,true,"MMAR_3085|prcB|proteasome",41.37,56.40,21,12,"Deamidation (NQ); Oxidation (M)",121930.51,143773.16,140291.75,130421.05,115556.984,127062.38,66006.56,55793.97,67633.13,1.00:1.18:1.15:1.07:0.95:1.04:0.54:0.46:0.55,135331.8,124346.805,63304.625,1.00:0.92:0.47,30270,"(beta subunit) PrcB|290 AA"
2656,true,"MMAR_4685|fadD16|fatty-acid-CoA",2.04,12.92,3,2,"",1108.3795,1445.6924,1372.9337,1521.6361,1569.5677,1554.5789,1731.1079,745.3396,1523.4143,1.00:1.30:1.24:1.37:1.42:1.40:1.56:0.67:1.37,1309.0018,1548.5942,1333.2872,1.00:1.18:1.02,22892,"ligase FadD16 |210 AA"
2328,true,"MMAR_4834|MMAR_4834|transcriptional",5.11,8.33,2,1,"Carbamidomethylation; Deamidation (NQ)",233.74089,59.942974,3399.5186,446.53268,400.07803,2955.1333,77.30878,0.0,78.64864,1.00:0.26:14.54:1.91:1.71:12.64:0.33:0.00:0.34,1231.0675,1267.248,77.978714,1.00:1.03:0.06,25485,"regulatory protein (TetR family)|229 AA"
711,true,"MMAR_4068|pncB|nicotinic",35.46,27.63,17,11,"Carbamidomethylation; Oxidation (M)",5842.8047,5893.39,6147.7896,4500.73,4291.7393,3756.2937,9410.096,8027.2617,7399.419,1.00:1.01:1.05:0.77:0.73:0.64:1.61:1.37:1.27,5961.328,4182.921,8278.926,1.00:0.70:1.39,46157,"acid phosphoribosyltransferase PncB |439 AA"
2088,true,"MMAR_1018|MMAR_1018|conserved",3.03,13.31,5,4,"Acetylation (Protein N-term); Oxidation (M)",1929.207,1526.106,1877.6848,2291.7139,1475.2166,1504.7247,5822.744,2073.6814,1442.508,1.00:0.79:0.97:1.19:0.76:0.78:3.02:1.07:0.75,1927.1501,1757.2184,3778.6372,1.00:0.91:1.96,38833,"hypothetical protein|354 AA"
2224,true,"MMAR_2085|MMAR_2085|conserved",53.90,22.16,1,1,"Deamidation (NQ)",532.3755,570.2002,164.04424,352.76685,232.17871,252.14745,0.0,0.0,0.0,1.00:1.07:0.31:0.66:0.44:0.47:0.00:0.00:0.00,422.20663,279.031,0.0,1.00:0.66:0.00,18007,"hypothetical protein|168 AA"
2239,true,"MMAR_0420|MMAR_0420|conserved",17.56,15.14,3,2,"Carbamidomethylation; Deamidation (NQ)",113.415955,41.826683,121.27231,409.67984,321.24957,159.02565,360.16916,614.41437,310.83167,1.00:0.37:1.07:3.61:2.83:1.40:3.18:5.42:2.74,92.171646,296.65167,428.47174,1.00:3.22:4.65,20331,"Mce associated protein|186 AA"
1008,true,"MMAR_1499|MMAR_1499|oxidoreductase|333",18.92,34.34,20,9,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",10196.422,9371.305,10802.068,10934.475,10537.786,8590.585,12857.153,13351.847,13255.541,1.00:0.92:1.06:1.07:1.03:0.84:1.26:1.31:1.30,10123.266,10020.948,13154.847,1.00:0.99:1.30,34039,"AA"
123,true,"MMAR_5315|lpqH|19",19.56,61.62,16,8,"Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from Q",117284.836,71501.07,130938.55,117468.555,107350.93,114388.06,53746.703,31010.031,56362.99,1.00:0.61:1.12:1.00:0.92:0.98:0.46:0.26:0.48,106574.81,113069.18,47122.57,1.00:1.06:0.44,9528,"kDa lipoprotein antigen precursor LpqH|100 AA"
550,true,"MMAR_3024|MMAR_3024|conserved",1.61,30.14,26,16,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",2816.4216,5509.5283,10717.934,5447.344,6492.619,8404.398,1560.8158,7346.7617,6466.95,1.00:1.96:3.81:1.93:2.31:2.98:0.55:2.61:2.30,6347.961,6781.4536,5124.843,1.00:1.07:0.81,93942,"membrane protein|887 AA"
637,true,"MMAR_2396|hisC1|histidinol-phosphate",29.12,52.62,24,15,"Acetylation (Protein N-term); Carbamidomethylation; Deamidation (NQ); Oxidation (M)",28800.273,27396.037,28457.846,20974.23,19947.168,19713.18,27732.625,30351.709,35769.906,1.00:0.95:0.99:0.73:0.69:0.68:0.96:1.05:1.24,28218.05,20211.525,31284.748,1.00:0.72:1.11,40866,"aminotransferase HisC1|383 AA"
