"Protein Group","Top","Accession","Significance","Coverage (%)","#Peptides","#Unique","PTM","SepWT_3 Area","SepWT_2 Area","SepWT_1 Area","SepDel_1 Area","SepDel_2 Area","SepDel_3 Area","SepComp_1 Area","SepComp_2 Area","SepComp_3 Area","Sample Profile (Ratio)","WT Area","Del Area","Comp Area","Group Profile (Ratio)","Avg. Mass","Description"
600,true,"MMAR_0638|grpE|GrpE",48.38,40.55,9,8,"Acetylation (Protein N-term); Deamidation (NQ); Oxidation (M); Pyro-glu from Q",14411.471,16261.464,15795.908,15885.48,15024.941,15032.674,8642.066,9358.043,9288.592,0.91:1.03:1.00:1.01:0.95:0.95:0.55:0.59:0.59,15527.482,15314.365,9096.233,1.00:0.99:0.59,22734,"protein (Hsp-70 cofactor)|218 AA"
674,true,"MMAR_3726|MMAR_3726|transcriptional",37.28,68.31,8,8,"Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from Q",5919.117,5702.7876,5939.6084,7897.4375,7411.2695,7444.387,2875.687,1760.1979,1710.6658,1.00:0.96:1.00:1.33:1.25:1.25:0.48:0.30:0.29,5853.838,7584.3647,2115.5168,1.00:1.30:0.36,15115,"regulator|143 AA"
2318,true,"MMAR_p22|MMAR_p22||282",12.58,4.98,1,1,"",638.7297,403.77826,1007.6823,815.10736,566.58563,903.3218,85.68155,330.63232,330.89056,0.63:0.40:1.00:0.81:0.56:0.90:0.09:0.33:0.33,683.3967,761.6716,249.06815,1.00:1.11:0.36,31443,"AA"
2197,true,"MMAR_4332|MMAR_4332|conserved",19.85,6.97,1,1,"Deamidation (NQ)",637.6615,539.8089,648.1669,469.47986,648.1784,438.8872,189.14893,56.880768,212.16858,0.98:0.83:1.00:0.72:1.00:0.68:0.29:0.09:0.33,608.5458,518.8485,152.73276,1.00:0.85:0.25,21992,"hypothetical protein|202 AA"
2693,true,"MMAR_3756|MMAR_3756|conserved",6.62,2.36,1,1,"Deamidation (NQ)",446.87872,335.1486,554.87506,326.754,121.87165,327.3801,378.3212,189.25906,222.17702,0.81:0.60:1.00:0.59:0.22:0.59:0.68:0.34:0.40,445.63412,258.66858,263.25244,1.00:0.58:0.59,50154,"hypothetical membrane protein|467 AA"
567,true,"MMAR_3085|prcB|proteasome",53.45,47.75,12,12,"Deamidation (NQ); Oxidation (M)",28829.057,31567.96,33393.35,40337.1,35030.234,30805.98,9094.386,7781.517,7576.16,0.86:0.95:1.00:1.21:1.05:0.92:0.27:0.23:0.23,31263.457,35391.105,8150.6875,1.00:1.13:0.26,30270,"(beta subunit) PrcB|290 AA"
1926,true,"MMAR_4685|fadD16|fatty-acid-CoA",17.47,6.70,1,1,"",131.50151,156.40706,162.82468,227.29779,388.62466,275.2602,147.94006,82.8094,156.34811,0.81:0.96:1.00:1.40:2.39:1.69:0.91:0.51:0.96,150.24442,297.06088,129.03253,1.00:1.98:0.86,22892,"ligase FadD16 |210 AA"
2182,true,"MMAR_4834|MMAR_4834|transcriptional",24.28,13.16,2,2,"",170.57507,221.15112,259.47913,517.3898,343.70322,299.29105,156.97046,124.2259,133.16061,0.66:0.85:1.00:1.99:1.32:1.15:0.60:0.48:0.51,217.06844,386.79468,138.11899,1.00:1.78:0.64,25485,"regulatory protein (TetR family)|229 AA"
691,true,"MMAR_4068|pncB|nicotinic",30.53,26.94,11,9,"Carbamidomethylation; Oxidation (M)",1216.6722,2073.9119,1741.1858,2236.626,2784.5454,2502.956,779.9193,644.87933,899.79865,0.70:1.19:1.00:1.28:1.60:1.44:0.45:0.37:0.52,1677.2566,2508.0425,774.8657,1.00:1.50:0.46,46157,"acid phosphoribosyltransferase PncB |439 AA"
2021,true,"MMAR_2085|MMAR_2085|conserved",18.70,13.17,2,2,"",261.2107,317.36978,410.4168,515.5905,932.0189,742.3879,516.0905,479.53876,549.9534,0.64:0.77:1.00:1.26:2.27:1.81:1.26:1.17:1.34,329.66577,729.9991,515.1942,1.00:2.21:1.56,18007,"hypothetical protein|168 AA"
2423,true,"MMAR_0420|MMAR_0420|conserved",23.21,8.11,1,1,"",180.4184,153.39024,176.35362,550.14685,296.7755,536.119,260.0415,301.89087,246.36346,1.02:0.87:1.00:3.12:1.68:3.04:1.47:1.71:1.40,170.0541,461.0138,269.43195,1.00:2.71:1.58,20331,"Mce associated protein|186 AA"
675,true,"MMAR_1499|MMAR_1499|oxidoreductase|333",67.75,40.96,14,11,"Oxidation (M)",12805.855,12841.953,12838.261,13992.523,12365.6045,11956.393,4098.6255,3939.044,4089.083,1.00:1.00:1.00:1.09:0.96:0.93:0.32:0.31:0.32,12828.689,12771.507,4042.2507,1.00:1.00:0.32,34039,"AA"
572,true,"MMAR_5315|lpqH|19",58.03,61.62,6,6,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",12547.789,13475.284,12732.744,25288.783,22777.697,24189.754,6685.504,5324.2144,5764.1084,0.99:1.06:1.00:1.99:1.79:1.90:0.53:0.42:0.45,12918.605,24085.412,5924.6094,1.00:1.86:0.46,9528,"kDa lipoprotein antigen precursor LpqH|100 AA"
1335,true,"MMAR_3024|MMAR_3024|conserved",34.98,12.75,6,6,"Deamidation (NQ)",623.6349,740.7735,952.20435,1897.9655,1894.1492,1799.8353,491.73727,488.96664,697.2061,0.65:0.78:1.00:1.99:1.99:1.89:0.52:0.51:0.73,772.2042,1863.9833,559.30334,1.00:2.41:0.72,93942,"membrane protein|887 AA"
603,true,"MMAR_2396|hisC1|histidinol-phosphate",28.79,48.43,14,14,"Deamidation (NQ); Oxidation (M)",10929.92,11661.844,11643.8,9031.37,15833.293,14651.4795,4964.3535,4802.002,5299.2124,0.94:1.00:1.00:0.78:1.36:1.26:0.43:0.41:0.46,11411.8545,13172.048,5021.856,1.00:1.15:0.44,40866,"aminotransferase HisC1|383 AA"
408,true,"MMAR_1962|dapA|dihydrodipicolinate",63.68,58.67,18,16,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",20609.51,20761.51,21668.627,25938.861,26175.742,26982.062,10671.041,10744.498,11852.351,0.95:0.96:1.00:1.20:1.21:1.25:0.49:0.50:0.55,21013.215,26365.555,11089.297,1.00:1.25:0.53,30706,"synthase DapA|301 AA"
2048,true,"MMAR_0416|lprK|MCE-family",4.84,6.86,2,2,"",617.2777,684.61035,471.083,617.06055,353.20245,318.70398,448.16507,210.00577,516.92535,1.31:1.45:1.00:1.31:0.75:0.68:0.95:0.45:1.10,590.99036,429.65564,391.69873,1.00:0.73:0.66,43773,"lipoprotein LprK (MCE-family lipoprotein Mce1E)|409 AA"
