"Protein Group","Top","Accession","Significance","Coverage (%)","#Peptides","#Unique","PTM","OctDel_1 Area","OctDel_2 Area","OctDel_3 Area","OctComp_1 Area","OctComp_2 Area","OctComp_3 Area","OctWT_1 Area","OctWT_3 Area","OctWT_2 Area","Sample Profile (Ratio)","Del Area","Comp Area","WT Area","Group Profile (Ratio)","Avg. Mass","Description"
2413,true,"MMAR_2787|MMAR_2787|conserved",84.99,10.67,4,3,"Carbamidomethylation",4875.213,4577.763,4536.54,2685.9978,2848.5996,2990.8638,119.36955,138.72325,111.20389,1.00:0.94:0.93:0.55:0.58:0.61:0.02:0.03:0.02,4663.172,2841.8203,123.0989,1.00:0.61:0.03,40201,"hypothetical protein|376 AA"
524,true,"MMAR_0638|grpE|GrpE",84.24,98.16,26,18,"Acetylation (Protein N-term); Deamidation (NQ); Oxidation (M); Pyro-glu from Q",105872.6,99392.3,97730.0,23735.137,24188.326,25246.715,17328.56,16378.603,17549.516,1.00:0.94:0.92:0.22:0.23:0.24:0.16:0.15:0.17,100998.3,24390.059,17085.559,1.00:0.24:0.17,22734,"protein (Hsp-70 cofactor)|218 AA"
605,true,"MMAR_3726|MMAR_3726|transcriptional",39.47,58.45,17,9,"Acetylation (Protein N-term); Carbamidomethylation; Deamidation (NQ); Oxidation (M)",23276.17,22441.816,22511.188,14833.055,14758.793,12882.563,6898.7656,6002.8857,4110.146,1.00:0.96:0.97:0.64:0.63:0.55:0.30:0.26:0.18,22743.059,14158.137,5670.599,1.00:0.62:0.25,15115,"regulator|143 AA"
1768,true,"MMAR_p22|MMAR_p22||282",39.96,22.42,5,5,"Deamidation (NQ); Oxidation (M)",5252.3306,4870.414,4559.7593,1654.9807,2132.6091,1150.0377,852.8989,596.1648,753.2609,1.00:0.93:0.87:0.32:0.41:0.22:0.16:0.11:0.14,4894.168,1645.8759,734.1082,1.00:0.34:0.15,31443,"AA"
2429,true,"MMAR_4332|MMAR_4332|conserved",32.21,30.85,5,3,"Deamidation (NQ)",1835.5208,2475.502,1685.8318,1266.78,1457.0221,1280.8356,486.48215,748.33875,656.81604,1.00:1.35:0.92:0.69:0.79:0.70:0.27:0.41:0.36,1998.9517,1334.8793,688.1653,1.00:0.67:0.34,21992,"hypothetical protein|202 AA"
2751,true,"MMAR_3756|MMAR_3756|conserved",12.27,6.44,2,2,"",9468.915,9083.925,2311.4185,7807.359,8357.427,5580.5073,499.20712,3026.2651,1736.6108,1.00:0.96:0.24:0.82:0.88:0.59:0.05:0.32:0.18,6954.753,7248.431,1754.0277,1.00:1.04:0.25,50154,"hypothetical membrane protein|467 AA"
2917,true,"MMAR_2800|MMAR_2800|conserved",5.59,15.75,2,2,"",192.35966,228.0493,343.2222,569.11633,844.573,540.2227,247.0128,12520.863,857.1301,1.00:1.19:1.78:2.96:4.39:2.81:1.28:64.00:4.46,254.54372,651.304,4541.669,1.00:2.56:17.84,15347,"hypothetical protein|147 AA"
591,true,"MMAR_3085|prcB|proteasome",31.07,62.28,19,15,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",128461.42,125778.234,101105.02,107935.0,128341.98,127992.37,62107.34,72837.445,66721.97,1.00:0.98:0.79:0.84:1.00:1.00:0.48:0.57:0.52,118448.23,121423.12,67222.25,1.00:1.03:0.57,30270,"(beta subunit) PrcB|290 AA"
2448,true,"MMAR_4685|fadD16|fatty-acid-CoA",14.56,19.62,3,3,"Oxidation (M)",1974.2129,1864.3641,1886.3124,1904.8936,1896.605,1845.469,2195.0251,4173.4644,2983.522,1.00:0.94:0.96:0.96:0.96:0.93:1.11:2.11:1.51,1908.2965,1882.3225,3117.3372,1.00:0.99:1.63,22892,"ligase FadD16 |210 AA"
2728,true,"MMAR_4834|MMAR_4834|transcriptional",27.03,16.67,2,2,"",1039.7166,916.4493,624.04535,444.26047,107.45339,461.40414,56.526924,64.48025,56.95276,1.00:0.88:0.60:0.43:0.10:0.44:0.05:0.06:0.05,860.0704,337.706,59.319977,1.00:0.39:0.07,25485,"regulatory protein (TetR family)|229 AA"
